,speakerid,lastname,congress_num,state,chamber,Mean_Republican_Logit_TF,Median_Republican_Logit_TF,Mean_Republican_Logit_Count,Median_Republican_Logit_Count,Mean_Republican_MNB_TF,Median_Republican_MNB_TF,Mean_Republican_MNB_Count,Median_Republican_MNB_Count,ideology,Mean_Republican_LSTM,Median_Republican_LSTM
0,113117261,kerry,113,MA,S,0.41980960086791375,0.41980960086791375,0.18873630192416396,0.18873630192416396,0.43520403102679317,0.43520403102679317,0.2543303294476638,0.2543303294476638,,0.31227714,0.31377465
1,113117271,lautenberg,113,NJ,S,0.31449949201706295,0.267700443049067,0.3170926629737656,0.35747245888973034,0.3258733983723028,0.2969317179055242,0.14837018757826573,0.016685916333272443,,0.33044946,0.17931849
2,113117281,cowan,113,MA,S,0.4240820224248236,0.46254855822054675,0.36543039600473926,0.34237581908098186,0.35970045246695254,0.3596683992402911,0.09085215668209888,0.015067922175306963,,0.4722344,0.44824326
3,113117290,bonner,113,AL,H,0.5404002719203918,0.5175021971078083,0.43351879932406556,0.3670918965490698,0.4443403739686401,0.4012746096142948,0.5010264964067461,0.4185550837604945,,0.52953583,0.49097416
4,113117310,young,113,FL,H,0.5409300379718237,0.5461452157590174,0.5579719848187048,0.539138440349886,0.46906960899417255,0.4722964501945714,0.5831416210601172,0.6332097228662052,,0.4439173,0.42109662
5,113117321,chiesa,113,NJ,S,0.41050884279180533,0.4326274707519786,0.4190217889318427,0.43554359712548224,0.45792203874537707,0.4717252504016953,0.3939286358664198,0.29705991524571446,,0.67931545,0.67931545
6,113117330,watt,113,NC,H,0.396117789377603,0.4530583576458725,0.4155249426588257,0.3782408262309913,0.4260093783008077,0.43598954425915776,0.37681974139407026,0.27758563337623077,0.331316542606539,0.38995922,0.37077782
7,113117340,radel,113,FL,H,0.5633703588688661,0.6212579320668926,0.5985066981831465,0.6725736132611131,0.4891672314797907,0.4870427638833784,0.6491019245887721,0.6717059556818195,0.776536669440601,0.3617742,0.41431338
8,113117351,baucus,113,MT,S,0.46911189332951864,0.48077363299968,0.4624649024498236,0.4533686959160357,0.43775096993756857,0.43268552819531503,0.5147167741769201,0.5012011134584106,0.351128511179715,0.35861245,0.3763839
9,113117360,andrews,113,NJ,H,0.3967052972784265,0.39649802075731416,0.40810609953847127,0.4279390232141348,0.427847096755177,0.4290962550717919,0.45848966584072043,0.49355414614997484,0.354865907603104,0.45940667,0.44227636
10,113117370,cantor,113,VA,H,0.5710366257804186,0.5726066647788254,0.5569940526847929,0.5516108155713747,0.48937888087032344,0.4939550153225067,0.6700050866318928,0.7842470627799872,0.475207416570215,0.45808667,0.4637873
11,113117381,begich,113,AK,S,0.48318951334037985,0.4567608945584775,0.5535353775768619,0.49935129606255185,0.44527694889251057,0.4391838915134917,0.5099487556981392,0.5206915947434111,0.20677909910327952,0.4501856,0.44255084
12,113117391,chambliss,113,GA,S,0.6116831908796423,0.6451978544899897,0.6508914309471211,0.6678863141373658,0.4763492677915175,0.48769392145505136,0.687662614053346,0.8717392787549624,0.8766670347402641,0.45124775,0.4357206
13,113117401,hagan,113,NC,S,0.34021148268589935,0.35903791118433226,0.39651090471856043,0.3631033468776588,0.39775820357232367,0.4255629637200073,0.3568697548094669,0.41074231821053697,0.32602123274203054,0.46147206,0.41928494
14,113117411,harkin,113,IA,S,0.4406549749264074,0.4246912371866062,0.4777590583999665,0.4553476274160454,0.4301197490209499,0.428477374916323,0.44084381126466243,0.44182266610835097,0.10407799795236392,0.45844886,0.45846242
15,113117421,johnson,113,SD,S,0.5048041175827764,0.5238034494063941,0.5265019513582899,0.4643471784190049,0.37358085401288327,0.37999995350492916,0.17743422864053357,0.006937431475582836,0.2648518304972375,0.41487253,0.42766666
16,113117431,landrieu,113,LA,S,0.4249459852578075,0.42315025884840696,0.4234972829090957,0.4492093762645604,0.42492797008943767,0.4347675318329847,0.4999282717185998,0.5606107090661349,0.282009222012704,0.46502534,0.46979138
17,113117441,levin,113,MI,S,0.39686884613887663,0.40468842016051987,0.3770210964301513,0.4343749076725305,0.4272117858293686,0.43864083864961,0.5012667367302095,0.5737593678989894,0.2016621287885815,0.40077618,0.4036783
18,113117451,pryor,113,AR,S,0.40789563641665133,0.42335507544851814,0.4069595255629275,0.4013812478133063,0.42562805619970784,0.4291364439611759,0.4547010727115472,0.3595871883818174,0.468469995074333,0.39570022,0.4127149
19,113117461,rockefeller,113,WV,S,0.3454976084945902,0.336738664216461,0.34305068024051777,0.28576433493836656,0.3585925236309999,0.3669515114333125,0.22641230633649997,0.023276039003764244,0.167400872939209,0.4136687,0.35633194
20,113117471,udall,113,CO,S,0.3842442679946394,0.3852051699968829,0.3999561668877082,0.3686057138945988,0.37770662979749553,0.39095554794903953,0.34732293195845815,0.35972954803653745,0.262730466054898,0.44397935,0.47063762
21,113117480,bachmann,113,MN,H,0.6165680148574314,0.6398650830096267,0.6379848575589754,0.6609963637759994,0.49921835156460903,0.4920298750483144,0.6673431492021745,0.828002959612952,0.8282791533024,0.4586928,0.4768745
22,113117490,bachus,113,AL,H,0.5100571485531856,0.5020108296983525,0.5451399792457531,0.5259966096260955,0.45256001461051215,0.46631587645500105,0.5193341280119985,0.5620480945078373,0.7071563883201675,0.40165493,0.4071738
23,113117500,barrow,113,GA,H,0.5248580578964682,0.5214568744943928,0.5300800834741956,0.5696158168806389,0.44069429644640645,0.42928300254060753,0.4760466599058044,0.4096606759862193,0.5836145785146261,0.4641681,0.48357385
24,113117510,bishop,113,NY,H,0.42865372869593693,0.4182338160849574,0.40557626724875045,0.4024464470807525,0.4118526966646404,0.4080535679817091,0.35913435996358933,0.2133426689859578,0.367716945604675,0.47011146,0.4691314
25,113117520,braley,113,IA,H,0.30464168560900057,0.2585409897559269,0.29570584283063434,0.23638456845859673,0.3748347316478814,0.35840058034161526,0.18562274198593565,0.060499109464504805,0.3936786045864745,0.5374917,0.49028587
26,113117530,broun,113,GA,H,0.628099689870867,0.5963304448157305,0.640865036168285,0.5909206848952173,0.49252301053981123,0.48031141810501604,0.6929924860288416,0.7737964791399922,0.8359736747148601,0.44555104,0.46775502
